repo,labels,solver,bounty_num,bounty_done_rate,bounty_cost_time_median,bounty_cost_time_mean,unbounty_num,unbounty_done_rate,unbounty_cost_time_median,unbounty_cost_time_mean
0LNetworkCommunity/libra,,0lBounties,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,,0o-de-lally,0,0.00%,,,12,75.00%,26879.0,98956.67
0LNetworkCommunity/libra,,caiyuxi,0,0.00%,,,2,100.00%,36927.5,36927.5
0LNetworkCommunity/libra,,dboreham,0,0.00%,,,2,50.00%,70169.0,70169.0
0LNetworkCommunity/libra,,earthwindfirewater,0,0.00%,,,2,100.00%,76738.0,76738.0
0LNetworkCommunity/libra,,gh0stwheel,0,0.00%,,,1,100.00%,33740.0,33740.0
0LNetworkCommunity/libra,,jamesmeijers,0,0.00%,,,4,100.00%,137152.5,150365.25
0LNetworkCommunity/libra,,liangping,0,0.00%,,,14,100.00%,31363.5,34034.5
0LNetworkCommunity/libra,,mortonbits,0,0.00%,,,1,100.00%,4600.0,4600.0
0LNetworkCommunity/libra,,nelaturuk,0,0.00%,,,16,100.00%,29224.5,74909.44
0LNetworkCommunity/libra,,simsekgokhan,0,0.00%,,,11,72.73%,55419.0,80122.75
0LNetworkCommunity/libra,,sm86,0,0.00%,,,11,100.00%,47932.0,80222.27
0LNetworkCommunity/libra,,soaresa,0,0.00%,,,2,50.00%,60193.0,60193.0
0LNetworkCommunity/libra,,tarcieri,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,,unknown,1,0.00%,,,103,89.32%,23405.0,57225.38
0LNetworkCommunity/libra,,zmanian,0,0.00%,,,3,100.00%,71569.0,57855.0
0LNetworkCommunity/libra,Guild Task ⚔️,unknown,0,0.00%,,,1,100.00%,51967.0,51967.0
0LNetworkCommunity/libra,Guild Task ⚔️__good first issue__low-hanging-fruit__👷🏾 Chore,unknown,0,0.00%,,,12,0.00%,,
0LNetworkCommunity/libra,Guild Task ⚔️__good first issue__👷🏾 Chore,unknown,0,0.00%,,,11,9.09%,4566.0,4566.0
0LNetworkCommunity/libra,Guild Task ⚔️__low-hanging-fruit__👷🏾 Chore,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,Guild Task ⚔️__👷🏾 Chore,unknown,0,0.00%,,,2,50.00%,140929.0,140929.0
0LNetworkCommunity/libra,Validator Quality of Life,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,Validator Quality of Life__good first issue__tools,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,bridge,coin1111,1,0.00%,,,0,N/A,,
0LNetworkCommunity/libra,bridge,unknown,0,0.00%,,,12,50.00%,92346.0,219314.5
0LNetworkCommunity/libra,bridge__can be closed?,coin1111,1,100.00%,118203.0,118203.0,0,N/A,,
0LNetworkCommunity/libra,bridge__can be closed?,unknown,0,0.00%,,,1,100.00%,632543.0,632543.0
0LNetworkCommunity/libra,bug,0o-de-lally,0,0.00%,,,6,83.33%,16415.0,64156.0
0LNetworkCommunity/libra,bug,agouin,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,bug,dboreham,0,0.00%,,,1,100.00%,28633.0,28633.0
0LNetworkCommunity/libra,bug,jamesmeijers,0,0.00%,,,3,100.00%,12754.0,29043.67
0LNetworkCommunity/libra,bug,liangping,0,0.00%,,,4,100.00%,16397.5,16320.25
0LNetworkCommunity/libra,bug,misko9,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,bug,mortonbits,0,0.00%,,,2,100.00%,12966.0,12966.0
0LNetworkCommunity/libra,bug,nelaturuk,0,0.00%,,,3,100.00%,17208.0,18866.33
0LNetworkCommunity/libra,bug,simsekgokhan,0,0.00%,,,3,33.33%,18613.0,18613.0
0LNetworkCommunity/libra,bug,sm86,0,0.00%,,,6,100.00%,10437.5,17471.5
0LNetworkCommunity/libra,bug,soaresa,0,0.00%,,,5,80.00%,20209.0,77603.0
0LNetworkCommunity/libra,bug,tarcieri,0,0.00%,,,1,100.00%,383083.0,383083.0
0LNetworkCommunity/libra,bug,unknown,0,0.00%,,,52,69.23%,32931.5,76474.97
0LNetworkCommunity/libra,bug,zmanian,0,0.00%,,,2,100.00%,193812.0,193812.0
0LNetworkCommunity/libra,bug__core,dboreham,0,0.00%,,,1,100.00%,253392.0,253392.0
0LNetworkCommunity/libra,bug__good first issue,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,bug__help wanted,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,bug__stdlib,unknown,0,0.00%,,,2,100.00%,239779.0,239779.0
0LNetworkCommunity/libra,bug__tools,soaresa,0,0.00%,,,1,100.00%,6154.0,6154.0
0LNetworkCommunity/libra,bug__tools,unknown,0,0.00%,,,1,100.00%,121043.0,121043.0
0LNetworkCommunity/libra,can be closed?,unknown,0,0.00%,,,1,0.00%,,
0LNetworkCommunity/libra,can be closed?__core,0o-de-lally,0,0.00%,,,1,0.00%,,
