project_length_Days,project_length_Hours,project_length_Weeks,project_length_Months,issue_len_description,time_limit,have_changed,bounty_type_Bug,bounty_type_Code_Review,bounty_type_Design,bounty_type_Documentation,bounty_type_Feature,bounty_type_Improvement,bounty_type_Other,bounty_type_Project,bounty_type_Security,experience_level_Advanced,experience_level_Intermediate,experience_level_Beginner,bounty_num,bounty_change_num,bounty_amount,title_len,never_expires,owner_follwers,owner_following,owner_grants_contributed,issue_index,until_time,until_fulfilment
False,True,False,False,2682,363,1,True,False,False,False,False,False,False,False,False,False,True,False,0,0,2000.0,22,0,117391,117281,495,1,141,1
False,False,True,False,3,331,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,100.0,26,0,117391,117281,495,1,108,1
True,False,False,False,3,358,1,True,False,False,False,False,False,False,False,False,False,False,True,1,0,10.0,42,0,117391,117281,495,3,135,1
False,False,True,False,750,332,1,False,False,False,False,False,False,True,False,False,False,True,False,2,0,413.67,39,0,117391,117281,495,4,110,1
False,True,False,False,6815,331,1,False,False,False,False,False,False,False,True,False,False,True,False,3,0,3000.0,30,0,117391,117281,495,1,108,1
False,True,False,False,6815,318,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,3000.0,79,0,117391,117281,495,11,95,1
False,True,False,False,6815,6,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,3000.0,72,0,117391,117281,495,1079,138,1
False,True,False,False,6815,29,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,3000.0,83,0,1,21,0,15294,29,0
False,True,False,False,6815,13,1,False,False,False,False,False,False,False,True,False,False,True,False,4,0,3000.0,65,0,117391,117281,495,16,13,0
False,True,False,False,6815,7,1,False,False,False,False,False,False,False,True,False,False,True,False,5,0,3000.0,55,0,117391,117281,495,17,129,1
False,True,False,False,6815,67,1,False,False,False,False,False,False,False,True,False,False,True,False,6,0,3000.0,81,0,117391,117281,495,19,112,1
False,False,False,True,3931,-20,1,False,False,False,False,False,False,False,False,False,False,True,False,7,0,2998.85,37,0,117391,117281,495,31,100,1
False,True,False,False,6815,-22,1,False,False,False,False,False,False,False,True,False,False,True,False,8,0,3000.0,41,0,117391,117281,495,32,-22,0
False,True,False,False,6815,-6,1,False,False,False,False,False,False,False,True,False,False,True,False,9,0,3000.0,36,0,117391,117281,495,33,108,1
False,True,False,False,6815,6,1,False,False,False,False,False,False,False,True,False,False,True,False,10,0,3000.0,55,0,117391,117281,495,1,6,0
False,True,False,False,6815,-15,1,False,False,False,False,False,False,False,True,False,False,True,False,11,0,3000.0,31,0,117391,117281,495,34,-15,0
False,True,False,False,687,0,1,False,False,False,False,True,False,False,False,False,False,True,False,12,0,1000.0,69,0,117391,117281,495,37,102,1
True,False,False,False,3,-3,1,False,False,False,False,True,False,False,False,False,False,True,False,0,0,0.0,34,0,0,0,0,17,-3,0
False,True,False,False,3,9,1,False,False,True,False,False,False,False,False,False,False,False,True,0,0,0.0,26,0,51,47,13,85,102,1
