model,roc_auc_ovr,auc_class_0,auc_class_1,auc_class_2
xgb,0.7852627328734322,0.7650573955072225,0.8007489530133987,0.7899818500996757
xgb,0.8006046494285984,0.8028725215576427,0.8020269097832867,0.7969145169448659
xgb,0.825561188858195,0.8288790025814248,0.8394980092012887,0.8083065547918713
xgb,0.8132285162346062,0.8227549843466798,0.8246725382331838,0.792258026123955
xgb,0.8260356607815468,0.817328500027462,0.8281183317622672,0.8326601505549108
xgb,0.7812780541774326,0.7603888614269237,0.796680595223021,0.7867647058823529
xgb,0.7876559209325533,0.7765310045586862,0.7962280343852441,0.7902087238537296
xgb,0.811836686810352,0.7850277365848299,0.8112539921493591,0.839228331696867
xgb,0.7830477770005487,0.7686658977316417,0.7883867730301879,0.7920906602398167
xgb,0.775439710413588,0.749288735101884,0.7921104342239168,0.7849199619149632
svmRbf,0.5836492583947716,0.5823474487834349,0.5836416843704715,0.5849586420304085
svmRbf,0.6517230757610474,0.6562860438292963,0.6536244729893871,0.6452587104644589
svmRbf,0.5923571103154645,0.5617949140440489,0.6048112141292776,0.6104652027730668
svmRbf,0.5752158891302793,0.5793815565441863,0.580729349860011,0.5655367609866405
svmRbf,0.5964876094235024,0.6283572252430384,0.6038404359591242,0.5572651670683448
svmRbf,0.5672391208974505,0.552062393584885,0.5720157950767009,0.5776391740307657
svmRbf,0.5426548937461287,0.5445048607678366,0.5537914280756551,0.5296683923948943
svmRbf,0.5616807635967594,0.6087988136431043,0.5530316886381437,0.5232117885090304
svmRbf,0.5794695336720327,0.5663426154775636,0.5873676904390075,0.584698295099527
svmRbf,0.5838645758416101,0.6040204317020926,0.5813038441877588,0.5662694516349788
knn,0.6158527673869837,0.5733564013840831,0.6313997495673707,0.6428021512094975
knn,0.6111378895623715,0.6038227055528093,0.6200927632473703,0.609498199886935
knn,0.6138686085038562,0.5737024221453287,0.6376722896764542,0.6302311136897855
knn,0.6092566842796433,0.6041138023836986,0.6352312750022276,0.5884249754530037
knn,0.5935027189493556,0.5895479760531664,0.6154112206949272,0.5755489600999731
knn,0.6143449474394477,0.6165101334651508,0.6274087726456286,0.5991159362075635
knn,0.6219165485583873,0.5773081781732301,0.6461841852263508,0.6422572822755809
knn,0.6022923772265396,0.6000714011094633,0.6252632121971007,0.5815425183730548
knn,0.5933399174492858,0.518072719283792,0.6172871205406344,0.6446599125234312
knn,0.5926507663149282,0.551628494535069,0.6262761981137827,0.6000476062959327
svmLinear,0.6093641696986479,0.7104739935189761,0.590999901515258,0.5266186140617097
svmLinear,0.6222556243905625,0.6117372439171747,0.6190727427062669,0.635956886548246
svmLinear,0.5813938540067292,0.5905585763717252,0.5662356786771154,0.587387306971347
svmLinear,0.5930065541613745,0.6063107595979568,0.5813085339373731,0.5914003689487934
svmLinear,0.5456028467053694,0.5597297742626461,0.5445502764607397,0.5325284893927222
svmLinear,0.6206431136503677,0.6454660295490745,0.6169178027585107,0.5995455086435181
svmLinear,0.6034719656523162,0.6760806283297632,0.6087506038052628,0.5255846648219227
svmLinear,0.5978631327825586,0.6904157741527983,0.5741449414015785,0.5290286827932994
svmLinear,0.6022000896375767,0.619514472455649,0.6065604907353995,0.5805253057216817
svmLinear,0.5972830145093581,0.6141923436041083,0.6007874089602356,0.57686929096373
naive_bayes,0.6628206534166226,0.6518564288460482,0.653938686213543,0.6826668451902764
naive_bayes,0.6495725250509539,0.6505739550722249,0.6466179870656705,0.6515256330149662
naive_bayes,0.6400744887739126,0.627077497665733,0.6367964789359896,0.6563494897200155
naive_bayes,0.6111036149870054,0.5774921733399241,0.6302273121638037,0.6255913594572883
naive_bayes,0.633441362669942,0.6088976767177459,0.6358468046391003,0.6555796066529799
