id_url,github_owner,github_repo,fullfillers
https://gitcoin.co/issue/29668,riffcc,projects,"[['en0c-026', '2023-01-09T04:58:24.142426Z']]"
https://gitcoin.co/issue/29664,QuickFast-io,UX,"[['oluwa-segun', '2023-01-08T21:01:01Z']]"
https://gitcoin.co/issue/29649,ARK-Builders,ARK-Navigator,"[['shubertmunthali', '2023-01-15T12:33:03Z']]"
https://gitcoin.co/issue/29624,reserve-protocol,protocol,"[['apoorvam-web3', '2022-12-14T07:55:47Z'], ['amritkumarj', '2022-12-14T07:55:45.932275Z'], ['emedudu', '2022-12-14T06:50:28.057485Z']]"
https://gitcoin.co/issue/29583,hyperlane-xyz,hyperlane-monorepo,"[['davidsemakula', '2022-12-14T19:30:47Z'], ['kartikchoubisa', '2022-12-14T22:51:49Z'], ['coffiasd', '2022-12-11T17:35:35Z'], ['aroralanuk', '2022-12-15T00:58:45Z'], ['markcarey', '2022-12-13T00:01:07Z'], ['adachi-440', '2022-12-14T13:58:29Z'], ['cryptodocs', '2022-12-12T15:48:38Z'], ['kenny-gin1', '2022-12-14T14:35:10Z'], ['cpp-phoenix', '2022-12-08T16:01:46Z'], ['zakirhossen23', '2022-12-15T01:02:26.489210Z'], ['ysongh', '2022-12-15T00:58:49.530878Z'], ['stevethijssen20', '2022-12-15T00:51:28.112736Z'], ['electrone901', '2022-12-15T00:50:48.441442Z'], ['sambitsargam', '2022-12-14T22:46:26.735102Z'], ['makinghappen', '2022-12-14T21:38:45.381884Z'], ['davidsemakula2', '2022-12-14T20:19:41.160555Z'], ['prashant830', '2022-12-14T17:52:33.849236Z'], ['seeinplays', '2022-12-13T03:46:33.092512Z'], ['oxhimanshu', '2022-12-11T17:29:22.649728Z'], ['jay3tn931', '2022-11-17T07:14:55.542254Z']]"
https://gitcoin.co/issue/29572,oort-tech,Olympus,"[['molecula451', '2022-11-22T16:06:40Z']]"
https://gitcoin.co/issue/29519,reserve-protocol,protocol,"[['adedamolaxl', '2022-12-14T08:07:45.303604Z'], ['marcusboyds', '2022-12-14T07:58:05.968232Z'], ['owanikin', '2022-12-14T07:31:23.220764Z'], ['cryptotwilight', '2022-12-14T06:54:57.321055Z'], ['ars0x', '2022-12-14T06:25:29.318893Z'], ['solanaweb3eng', '2022-12-14T02:45:45.632603Z'], ['shegu88', '2022-12-14T01:54:49.057468Z'], ['davewilliamson208', '2022-12-14T01:44:28.084552Z'], ['sianliu', '2022-12-13T22:15:56.076650Z'], ['billi-x4', '2022-12-13T21:36:32.928856Z'], ['iheanyi1', '2022-12-13T19:35:09.590075Z'], ['adelana001', '2022-12-13T17:51:12.635928Z'], ['houseofchimera', '2022-12-13T16:21:30.803217Z'], ['igorshadurin', '2022-12-13T15:26:34.565479Z'], ['chris-jobs', '2022-12-13T01:16:19.268552Z'], ['ify01', '2022-12-12T23:57:40.080684Z'], ['socopower', '2022-12-12T20:52:17.870837Z'], ['preetam775', '2022-12-12T15:41:22.261424Z'], ['garythisside1', '2022-12-12T15:36:14.068853Z'], ['nwakakukaks', '2022-12-12T04:27:55.351691Z'], ['thestriver', '2022-12-12T02:12:04.084187Z'], ['forcreators', '2022-12-11T14:54:45.355405Z'], ['nicefacer', '2022-12-11T04:50:13.273871Z'], ['parrymahal', '2022-12-10T19:46:24.527111Z'], ['rsvsinatra', '2022-12-10T13:52:56.474268Z'], ['nwakaku', '2022-12-09T09:21:59.338361Z'], ['daogreat', '2022-12-06T14:25:17.147490Z'], ['ltodd22', '2022-12-01T21:20:17.537074Z'], ['proton2023', '2022-12-01T03:40:37.857610Z'], ['proton2022', '2022-12-01T03:09:55.719914Z'], ['ezeobi', '2022-11-27T16:54:51.271768Z'], ['1c1g', '2022-11-27T15:03:41.871899Z'], ['astadaniel2', '2022-11-27T06:42:41.999227Z'], ['ishaaqziyan', '2022-11-17T18:59:37Z'], ['okeaguugochukwu', '2022-11-16T13:59:19.974344Z'], ['drew7wonders', '2022-10-30T14:10:13.226851Z'], ['hlabzcc', '2022-10-29T12:39:17.250400Z']]"
https://gitcoin.co/issue/29518,reserve-protocol,protocol,"[['lavi54', '2022-12-14T07:45:56.998786Z'], ['amritkumarj', '2022-12-14T07:22:07.762690Z'], ['lugadaug', '2022-12-14T06:41:34.250891Z'], ['1337-ishaan', '2022-12-14T05:35:29.971993Z'], ['bpssmarques', '2022-12-13T22:52:28.992773Z'], ['mynameiskellkell', '2022-12-13T22:36:27.053129Z'], ['asharibali', '2022-12-13T21:07:03.336135Z'], ['petrkrulis2022', '2022-12-13T20:48:46.240552Z'], ['spear-protocol', '2022-12-13T03:52:13.769371Z'], ['larrythecucumber321', '2022-12-12T22:03:07.096269Z'], ['chimpydev', '2022-12-12T18:35:08.459767Z']]"
https://gitcoin.co/issue/29517,reserve-protocol,protocol,"[['utgarda', '2022-12-14T07:58:14.144214Z'], ['gjaldon', '2022-12-13T13:45:14.188747Z'], ['nabetse00', '2022-12-10T13:17:34.545368Z']]"
https://gitcoin.co/issue/29516,reserve-protocol,protocol,"[['gjaldon', '2022-12-14T07:28:19.173322Z'], ['utgarda', '2022-12-13T02:14:29.185296Z'], ['lazycoder1', '2022-12-12T06:18:08.954520Z']]"
https://gitcoin.co/issue/29515,reserve-protocol,protocol,"[['utgarda', '2022-12-14T06:29:44.189389Z']]"
