repo,bounty,bounty_done_num,bounty_done_rate,unbounty,unbounty_done_num,unbounty_done_rate,bounty_cost_time_median,bounty_cost_time_mean,bounty_cost_time_max,bounty_cost_time_min,unbounty_cost_time_median,unbounty_cost_time_mean,unbounty_cost_time_max,unbounty_cost_time_min
0LNetworkCommunity/libra,3.0,1.0,33.333%,382.0,290.0,75.916%,118203.0,118203.0,118203.0,118203.0,36523.5,105472.86,642606.0,0.0
0lBounties/bounties,3.0,0.0,0.000%,1.0,0.0,0.000%,,,,,,,,
0mkara/etheratom,8.0,4.0,50.000%,280.0,164.0,58.571%,71498.0,71498.0,74829.0,68167.0,31193.5,120638.96,1139222.0,0.0
0xHabitat/habitat-rollup,1.0,0.0,0.000%,44.0,36.0,81.818%,,,,,163463.0,148321.25,485065.0,1.0
0xHabitat/hackathon,3.0,3.0,100.000%,0.0,0.0,-0.000%,53476.0,53476.0,53478.0,53474.0,,,,
0xProject/0x-instant,1.0,1.0,100.000%,3.0,0.0,0.000%,456624.0,456624.0,456624.0,456624.0,,,,
0xProject/0x-launch-kit-backend,1.0,0.0,0.000%,28.0,18.0,64.286%,,,,,5467.5,29377.22,228792.0,1.0
0xProject/0x-monorepo,1.0,1.0,100.000%,446.0,434.0,97.309%,46383.0,46383.0,46383.0,46383.0,24698.5,63125.97,746977.0,0.0
0xProject/website,2.0,2.0,100.000%,13.0,6.0,46.154%,193954.0,193954.0,232667.0,155241.0,11314.5,116464.33,652101.0,13.0
0xTangle/poapathon,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
0xplace/0xplace,1.0,1.0,100.000%,0.0,0.0,-0.000%,23181.0,23181.0,23181.0,23181.0,,,,
1inch/1inchProtocol,14.0,0.0,0.000%,90.0,24.0,26.667%,,,,,3384.5,65623.17,631924.0,285.0
1inch/limit-order-protocol,4.0,0.0,0.000%,17.0,15.0,88.235%,,,,,22836.0,70504.13,357326.0,35.0
1inch/profanity2,1.0,0.0,0.000%,12.0,4.0,33.333%,,,,,1256.5,1359.75,2880.0,46.0
1inch/spot-price-aggregator,2.0,2.0,100.000%,4.0,3.0,75.000%,129661.5,129661.5,164455.0,94868.0,3545.0,156092.33,464443.0,289.0
1kxnetwork/codelessconduct,7.0,7.0,100.000%,2.0,2.0,100.000%,38751.0,38746.57,38752.0,38718.0,8673.0,8673.0,17346.0,0.0
3box/3box,1.0,1.0,100.000%,1455.0,1455.0,100.000%,1101333.0,1101333.0,1101333.0,1101333.0,31915.0,132315.88,1816691.0,0.0
3box/3box-chatbox-react,1.0,1.0,100.000%,31.0,25.0,80.645%,145520.0,145520.0,145520.0,145520.0,22576.0,35736.52,158656.0,1135.0
3box/3box-comments-react,1.0,1.0,100.000%,32.0,24.0,75.000%,82524.0,82524.0,82524.0,82524.0,17659.5,38480.83,179682.0,163.0
3box/sss-wasm,1.0,1.0,100.000%,4.0,3.0,75.000%,351266.0,351266.0,351266.0,351266.0,5812.0,106098.0,312413.0,69.0
3commas-io/3commas-official-api-docs,2.0,2.0,100.000%,135.0,107.0,79.259%,191563.5,191563.5,191564.0,191563.0,81637.0,129290.61,676213.0,1.0
420tiesto/420market,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
42wim/matterbridge,1.0,1.0,100.000%,1216.0,1037.0,85.280%,16307.0,16307.0,16307.0,16307.0,9989.0,108094.98,2578678.0,0.0
4ubr3ypwd/gravityforms-firstdata,1.0,0.0,0.000%,24.0,14.0,58.333%,,,,,94622.5,112377.21,323278.0,80.0
6ug-test/sdadadadas,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
7finney/ethcode,1.0,1.0,100.000%,104.0,96.0,92.308%,47100.0,47100.0,47100.0,47100.0,162429.5,359699.03,1335459.0,81.0
88mphapp/88mph-contracts,5.0,0.0,0.000%,4.0,2.0,50.000%,,,,,98524.5,98524.5,194482.0,2567.0
88mphapp/ng88mph-frontend,1.0,1.0,100.000%,54.0,40.0,74.074%,211828.0,211828.0,211828.0,211828.0,2992.0,21711.12,194481.0,0.0
AElfProject/Bounties,2.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AGWA/git-crypt,1.0,1.0,100.000%,192.0,100.0,52.083%,2016.0,2016.0,2016.0,2016.0,5697.5,334870.79,3092764.0,0.0
ARK-Builders/ARK-Globe,1.0,1.0,100.000%,4.0,1.0,25.000%,274782.0,274782.0,274782.0,274782.0,95023.0,95023.0,95023.0,95023.0
ARK-Builders/ARK-Memo,3.0,1.0,33.333%,6.0,1.0,16.667%,153171.0,153171.0,153171.0,153171.0,66262.0,66262.0,66262.0,66262.0
ARK-Builders/ARK-Navigator,8.0,6.0,75.000%,209.0,125.0,59.809%,112931.0,147876.33,382352.0,7009.0,80579.0,167612.58,884115.0,432.0
ARK-Builders/ARK-Rate,1.0,1.0,100.000%,8.0,3.0,37.500%,52182.0,52182.0,52182.0,52182.0,92681.0,147930.67,273450.0,77661.0
ARK-Builders/ARK-Retouch,6.0,6.0,100.000%,12.0,11.0,91.667%,171953.0,138908.0,213643.0,14406.0,107764.0,126985.82,296524.0,14426.0
ARK-Builders/ARK-Shelf-Desktop,2.0,2.0,100.000%,18.0,6.0,33.333%,20957.0,20957.0,22534.0,19380.0,22988.5,27729.33,44881.0,22537.0
ARK-Builders/arklib,8.0,4.0,50.000%,10.0,2.0,20.000%,145704.5,122716.25,182169.0,17287.0,121423.0,121423.0,231147.0,11699.0
ARK-Builders/arklib-android,3.0,3.0,100.000%,7.0,6.0,85.714%,60458.0,61557.33,119902.0,4312.0,119678.0,220509.83,674748.0,27156.0
ASdevix/DatabaseDebug,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AbieFund/abie,8.0,8.0,100.000%,13.0,7.0,53.846%,1293.5,41406.88,176560.0,295.0,5304.0,8228.14,18637.0,2996.0
AcalaNetwork/polakdot-hello-world-acala,2.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AdamSC1-ddg/defidomains,1.0,1.0,100.000%,2.0,0.0,0.000%,11505.0,11505.0,11505.0,11505.0,,,,
AddrETH/addreth,3.0,2.0,66.667%,10.0,4.0,40.000%,8109.0,8109.0,16057.0,161.0,1834.0,5028.25,15987.0,458.0
AgeManning/rusty-blockparser,1.0,0.0,0.000%,1.0,0.0,0.000%,,,,,,,,
AgileVentures/WebsiteOne,1.0,1.0,100.000%,1542.0,1525.0,98.898%,18599.0,18599.0,18599.0,18599.0,94045.0,580763.51,2781450.0,0.0
Agoric/agoric-sdk,30.0,9.0,30.000%,3334.0,2429.0,72.855%,294906.0,265345.33,576401.0,34.0,44796.0,144571.62,1628720.0,0.0
Agoric/cross-chain-hackathon,5.0,0.0,0.000%,2.0,1.0,50.000%,,,,,40.0,40.0,40.0,40.0
AigangNetwork/aigang-platform-web,1.0,1.0,100.000%,167.0,154.0,92.216%,41479.0,41479.0,41479.0,41479.0,5599.5,18366.01,313958.0,4.0
Alethea-tech/SmartContracts,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AletheaAI/Gitcoin-Bounties,4.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
Alethio/alethio-gitcoin,4.0,2.0,50.000%,0.0,0.0,-0.000%,100522.0,100522.0,100534.0,100510.0,,,,
AlexandreRangel/ios-second-screen,1.0,0.0,0.000%,1.0,0.0,0.000%,,,,,,,,
AlfaBlok/safe_deploy,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AlgoSeas/GHH,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AlgoWorldNFT/algoworld-contracts,1.0,1.0,100.000%,9.0,6.0,66.667%,5582.0,5582.0,5582.0,5582.0,86.5,8703.67,36738.0,7.0
AlgoWorldNFT/algoworld-swapper,1.0,1.0,100.000%,19.0,17.0,89.474%,18463.0,18463.0,18463.0,18463.0,11998.0,69482.06,300548.0,68.0
Algomint/Algorand-MultiSig,1.0,0.0,0.000%,3.0,3.0,100.000%,,,,,6044.0,7545.67,11882.0,4711.0
Allswap/beta-pages,1.0,0.0,0.000%,0.0,0.0,-0.000%,,,,,,,,
AlpacaCity/AlpacaCity,1.0,0.0,0.000%,2.0,1.0,50.000%,,,,,1.0,1.0,1.0,1.0
Alpha-Serpentis-Developments/Project-Mimic,4.0,0.0,0.000%,54.0,37.0,68.519%,,,,,29678.0,75921.59,420035.0,1419.0
